rfc_num,rule
5,treename = id;
48,C = ok
48,C = busy
48,C = bufbig
48,"C = not open     if no connection is currently open and
                 otherwise uninhibited"
55,CR = IMP DEAD  Our imp has died
55,CR = BUSY
55,CR = NOROOM
55,CR = IMP DEAD
55,CR = LINK DEAD
55,CR = BADSKT
55,CR = OK
55,CR = BADCOMM
70,M=L
76,USER= GROSSMAN
82,Cn=EOL
360,PASS = (password)
360,INPASS = (password)
360,INPATH = (pathname)
360,INPUT = (pathname)
360,USER=myself
360,PASS=dorwssap
360,USER=roundabout
360,PASS=aaabbbc
360,OUTUSER=roundab1
360,INUSER=rounder
360,PASS=aaabbbcc
407,USER=myself
407,PASS=dorwssap
407,OUT=H70002
407,INPUT=H50003
407,USER=roundabout
407,PASS=aaabbbc
407,OUTUSER=roundab1
407,INUSER=rounder
407,PASS=aaabbbcc
477,jjj             = HASP assigned job number
477,"rem             = terminal number of remote terminal
                  where job is queued to print or punch"
477,dev             = device name
477,"PURGE           = signifies job will be purged at
                  completion of current function"
490,SYSOUT=A
490,SYSOUT=B
490,SYSYOUT=A
515,C = A2 ;
622,Ident = AAM
675,S = size of sequence number space
675,L = left window edge
675,x = sequence number to be tested
675,B = the total user receive buffers
707,message-type=RESPONSE  tid  outcome      results
707,message-type=REPLY    tid  outcome results
707,message-type=RETURN  tid  outcome        results
708,message-type=RETURN      tid  outcome        results
713,BCDEFGH=tuvwxyz containing the character
713,CDEFGH=uvwxyz containing the actual number
713,FGH=xyz specifying the number of bytes
713,H=z specifying the value
713,DEFGH=vwxyz specifying the particular type
713,A=s specifying the manner in which the size
720,Id = Name
720,Filename = Name
721,x = sequence number to be tested
721,FCLE = flow control left window edge
721,TSE = time since connection establishment (in sec)
721,MPL = maximum packet lifetime (in sec)
741,D = data bits (from here to the end of the message)
757,G = gateway
760,dest = destination address
760,TOS = type of service
760,TTL = time to live
760,BufPTR = buffer pointer
760,len = length of buffer
760,Id  = Identifier
760,options = option data
760,result = response
760,OK = datagram sent ok
760,Error = error in arguments or local network error
760,OK = datagram received ok
760,Error = error in arguments
760,prot = protocol
761,dest = destination address
761,TOS = type of service
761,TTL = time to live
761,BufPTR = buffer pointer
761,len = length of buffer
761,Id  = Identifier
761,options = internet option data
761,result = response
761,OK = datagram sent ok
761,Error = error in arguments or local network error
761,OK = datagram received ok
761,Error = error in arguments
761,prot = protocol
781,offset =    the number of octets from the beginning of this option to the
781,overflow =  the number of IP modules that cannot register timestamps due
782,VT = VIRTUAL TERMINAL
782,AU = ADAPTATION UNIT
791,src = source address
791,dst = destination address
791,prot = protocol
791,TOS = type of service
791,TTL = time to live
791,BufPTR = buffer pointer
791,len = length of buffer
791,Id  = Identifier
791,opt = option data
791,result = response
791,OK = datagram sent ok
791,Error = error in arguments or local network error
791,OK = datagram received ok
791,Error = error in arguments
809,r = reverse image
809,a = additive image
822,domain-ref  =  atom                         ; symbolic reference
832,T = tcp (no particular services mentioned)
833,T = tcp (no particular services mentioned)
834,T = tcp (no particular services mentioned)
835,T = tcp (no particular services mentioned)
836,T = tcp (no particular services mentioned)
837,T = tcp (no particular services mentioned)
838,T = tcp (no particular services mentioned)
839,T = tcp (no particular services mentioned)
842,T = tcp (no particular services mentioned)
843,T = tcp (no particular services mentioned)
845,T = tcp (no particular services mentioned)
846,T = tcp (no particular services mentioned)
882,auth=false;                               
898,l = number lines
898,AS2 = G1
902,DARPA = Defense Advanced Research Projects Agency
902,DDN   = Defense Data Network
905,LWE  = lower window edge
905,UWE  = upper window edge
905,"KUWE = lower bound on upper window edge
       held by remote transport entity"
908,State = OPEN
920,GOV  =  Government
920,EDU  =  Education
920,COM  =  Commercial
920,MIL  =  Military
920,ORG  =  Organization
937,RETR                              =yyy
987,action                       = relayed
1002,G = GROUP;
1002,ONT = B;
1002,G = DONT CARE;
1002,ONT = P;
1002,G = UNIQUE;
1002,ONT = M;
1002,retarget = FALSE;
1002,retarget = TRUE;
1002,group = FALSE;
1002,group = TRUE;
1008,p = mess ; p3 = mess + len ;
1008,Ar  = time needed by remote entity to generate an acknowledgement
1008,Al  = time needed by local entity to generate an acknowledgement
1008,x   = local processing time for an incoming TPDU
1008,"T1  = bound for maximum time local entity will wait for
      acknowledgement before retransmitting a TPDU"
1008,"R   = bound for maximum local entity will continue to transmit a
      TPDU that requires acknowledgment"
1008,"N   = bound for maximum number of times local entity  will transmit
      a TPDU requiring acknowledgement"
1008,"I   = bound for the time after which an entity will initiate
      procedures to terminate a transport connection if a TPDU is
      not received from the peer entity"
1045,X = reserved
1045,RG = restricted group
1045,UG = unrestricted group
1045,A  = alias
1046,N = Queue size for low delay queue
1046,P = Percentage of link resources allocated to low delay
1055,c = END;
1055,c = ESC;
1058,dir = directly connected
1058,unreach = unreachable
1063,ProbeRetry = Current Time
1063,ProbeReply = false
1063,SupportsProbes = true
1073,Name = NAWS (Negotiate About Window Size)
1085,argument              = NONE
1095,v = version of CMOT supported
1108,CF = Copy on Fragmentation
1134,v = b;
1138,preferred-recipient = mailbox
1138,mta              = word
1142,Deltak = call
1142,octetTimeStamp = BinaryAbsoluteTime;
1142,IDEntry =  RECORD
1142,NETEntry =  RECORD
1142,Nb = Number of Routeing Layer buffers 
1144,lcs = cs;
1144,deltaS = hlen;
1144,cp = bufp;
1148,preferred-recipient = mailbox
1148,mta              = word
1171,v = b;
1186,tmp = count;
1205,Opcode = Cancel Invite
1228,cp = packet;
1244,NCSC = National Computer Security Center
1244,NTISS = National Telecommunications and
1249,type=value
1255,countryName= US
1255,objectClass= country
1255,description= United States of America
1255,stateOrProvinceName= California
