rfc_num,undefined_names,num,Problem,Example
6020,"['length-arg-str', 'container-keyword', 'choice-keyword', 'status-keyword', 'config-arg-str', 'notification-keyword', 'status-arg-str', 'range-arg-str', 'system-keyword', 'refine-keyword', 'argument-keyword', 'belongs-to-keyword', 'yang-version-keyword', 'rpc-keyword', 'min-keyword', 'description-keyword', 'leaf-list-keyword', 'pattern-keyword', 'range-keyword', 'identifier-arg-str', 'must-keyword', 'base-keyword', 'extension-keyword', 'max-elements-keyword', 'if-feature-keyword', 'uses-augment-arg-str', 'import-keyword', 'typedef-keyword', 'user-keyword', 'position-value-arg-str', 'max-keyword', 'not-supported-keyword', 'path-keyword', 'value-keyword', 'input-keyword', 'output-keyword', 'uri-str', 'mandatory-arg-str', 'mandatory-keyword', 'config-keyword', 'date-arg-str', 'prefix-arg-str', 'yin-element-arg-str', 'deprecated-keyword', 'true-keyword', 'length-keyword', 'organization-keyword', 'reference-keyword', 'position-keyword', 'obsolete-keyword', 'revision-keyword', 'namespace-keyword', 'min-elements-keyword', 'namespace-uri', 'require-instance-arg-str', 'augment-arg-str', 'unique-arg-str', 'units-keyword', 'false-keyword', 'unbounded-keyword', 'require-instance-keyword', 'include-keyword', 'list-keyword', 'deviation-keyword', 'bit-keyword', 'leaf-keyword', 'ordered-by-arg-str', 'min-value-arg-str', 'deviate-keyword', 'identifier-ref-arg-str', 'fraction-digits-keyword', 'deviation-arg-str', 'error-message-keyword', 'yang-version-arg-str', 'key-arg-str', 'contact-keyword', 'delete-keyword', 'augment-keyword', 'grouping-keyword', 'type-keyword', 'error-app-tag-keyword', 'identity-keyword', 'yin-element-keyword', 'submodule-keyword', 'anyxml-keyword', 'unique-keyword', 'refine-arg-str', 'prefix-keyword', 'enum-keyword', 'module-keyword', 'revision-date-keyword', 'presence-keyword', 'max-value-arg-str', 'key-keyword', 'current-keyword', 'ordered-by-keyword', 'feature-keyword', 'add-keyword', 'default-keyword', 'path-arg-str', 'uses-keyword', 'fraction-digits-arg-str', 'replace-keyword']",103,do not follow abnf,choice-keyword='choice'
5971,"['method-specific-information', 'error-class', 'even', 'Responder-Cookie', 'Session-Identification-content', 'NSLP-Data', 'encapsulated', 'Normal', 'ipsec-SPI', 'error-subcode', 'messages', 'diffserv-codepoint', 'destination-address', 'RS-validity-time', 'interface-address', 'are', 'network-layer-version', 'Alert', 'message-routing-method', 'Q-mode', 'Hello-ID', 'Common-Header', 'common-error-header', 'at', 'MA-Hold-Time', 'peer-identity', 'D-mode', 'source-address', 'C-mode', 'Session-Identifier', 'that', 'Message-Routing-Information-content', 'IP-protocol', 'Router', 'traffic', 'IfIndex', 'Query-Cookie', 'prefix-length', 'flow-label', 'packets', 'IP-TTL', 'NAT-Traversal-Object', 'for', 'UDP']",44, def not in doc,NSLP-Data not in doc
1327,"['labelled-integer', 'object-identifier', 'registered-dd-type', 'std-or', 'dl-history', 't61-encoded', 'Assigned', 'MD', 'dmn-printablestring', 'Original', 'Subscription', 'MHS', 'ipn-non-receipt', 'ipn-discarded', 'delivered', 'following', 'project-team', 'ipn-receipt', 'is', 'Requested', 'printable-string', 'types', 'object-identifer', 'dr-recip-failure', 'successfully', 'std-printablestring', 'was', 'Alternate', 'were', 'ipn-auto-forwarded', 'given', 'information']",32,do not follow the abnf rule,"ipn-auto-forwarded = ""was automatically forwarded."" <CRLF>
                        [ ""The following comment was made:""
                                auto-comment ]"
2156,"['labelled-integer', 'object-identifier', 't61-encoded', 'Assigned', 'MD', 'dmn-printablestring', 'boundary-1', 'Original', 'Subscription', 'MHS', 'ipn-non-receipt', 'ipn-discarded', 'delivered', 'following', 'ipn-receipt', 'is', 'Requested', 'printable-string', 'types', 'Again', 'Look', 'dr-recip-failure', 'successfully', 'std-printablestring', 'was', 'Alternate', 'were', 'ipn-auto-forwarded', 'given', 'information', 'labelled-integer-2']",31,do not follow the abnf rule,"two equal sign :""      dmn-printablestring =
                      = *( dmn-char / dmn-pair )"""
1138,"['labelled-integer', 'object-identifier', 'registered-dd-type', 'std-or', 'dl-history', 't61-encoded', 'Assigned', 'MD', 'dmn-printablestring', 'Subscription', 'MHS', 'ipn-non-receipt', 'ipn-discarded', 'delivered', 'following', 'ipn-receipt', 'Requested', 'printable-string', 'types', 'object-identifer', 'dr-recip-failure', 'successfully', 'std-printablestring', 'was', 'Alternate', 'were', 'ipn-auto-forwarded', 'given', 'information']",29,,
1148,"['labelled-integer', 'object-identifier', 'registered-dd-type', 'dl-history', 't61-encoded', 'Assigned', 'MD', 'dmn-printablestring', 'Subscription', 'MHS', 'ipn-non-receipt', 'ipn-discarded', 'delivered', 'following', 'ipn-receipt', 'Requested', 'printable-string', 'types', 'object-identifer', 'dr-recip-failure', 'successfully', 'std-printablestring', 'was', 'Alternate', 'were', 'ipn-auto-forwarded', 'given', 'information']",28,,"std-printablestring
                                = *( std-char / std-pair )"
5,"['point', 'pntrname', 'demand', 'relation', 'conditional', 'loopstr', 'buffername', 'returnst', 'unconditional', 'forst', 'callst', 'pipename', 'condcasest', 'idlist', 'startbuffer', 'ithcasest', 'gost', 'real', 'bufappend', 'conjunct', 'deletepntr', 'ername', 'buildmes']",23,,
8313,"['point', 'edge', 'multicast', 'tunnel', 'AD-2', 'connecting', 'peering', 'non-multicast-enabled', 'at', 'through', 'Relay', 'interconnection', 'gateway', 'network', 'AD-1', 'in', 'pmtu', 'AMT', 'relay', 'across', 'EU', 'between']",22,,
2660,"['key-name', 'Mobility', 'cryptopt', 'DES-CBC', 'name-domain', 'DES-ECB', 'NIST-DSS', 'pattern-data', 'Registration', 'RSA-MD5', 'copied', 'key-use', 'Agent', 'Router', 'Ciphers', 'Hdr-Cipher', 'Advertisement', 'the', 'Key-Name', 'of']",20,"
","name-domain not in doc
e.g. ""Key-name = string"", string be parsed as rulename instead of string variable."
4324,"['any-prop-or-comp', 'x-cmd', 'cap-prop', 'literal-data', 'newlocale', 'deleteparam', 'iana-cmd', 'NOT', 'identifyparam', 'sequence', 'agendacprop', 'createparam', 'cap-param', 'modifyparam', 'carprop', 'x-id', 'other-levels', 'set-locale-cmd', 'continueparam', 'capabilityparam']",20,"def not in doc
","e.g., ""cap-prop   = ; A property that may be in the 'cap-comp' named
                  ; in the ""SELECT"" clause.""   "
